BuildingISO, NOT SET
Camp Fire, CAMPPPPP
Hay Wall, NOT SET
Egg Fried Rice, NOT SET
Grilled Maculata, NOT SET
Peach Pie, NOT SET
Rhododendron Tea, NOT SET
Seafood Soup, NOT SET
Flower Box, NOT SET
Oak Bed, NOT SET
Oak Door, NOT SET
Oak Stool, NOT SET
Oak Table, NOT SET
Straw Bed, NOT SET
Straw Wall, NOT SET
Chicken Egg, NOT SET
Clam, NOT SET
Clay, NOT SET
Honey, NOT SET
Natural Beehive, NOT SET
Oak Log, NOT SET
Peach, NOT SET
Raw Maculata, NOT SET
Rhododendron Flower, NOT SET
Rice, NOT SET
Soil, NOT SET
Stone, NOT SET
Straw, A pile of Dried Stalks
Wenyao Fish, NOT SET
Wood Stick, NOT SET
Zhuyu, NOT SET
Oak Log, NOT SET
Straw String, NOT SET
Beehive, NOT SET
Chicken Coop, NOT SET
Fish Trap, NOT SET
Rice Field, NOT SET
Storage Vat, NOT SET
Stone Axe, NOT SET
Stone Pickaxe, NOT SET
Stone Shovel, NOT SET
Straw Bale, NOT SET
Straw Tile, NOT SET
Workshop, NOT SET
Campfire, NOT SET
Kiln, NOT SET
Splitting Block, NOT SET
