GUID,Types,ID,Name,Label color
a017fe54-96bd-4a95-ba71-2cca8264ad4b,PART,Part9,Sheep_live2D_v2.psd(未找到对应图层),UNDEFINED:#00000000
b5720417-ee3d-48eb-a8d2-329efbfb7f98,PART,Part7,羊refine wleaves,UNDEFINED:#00000000
e31472fd-506a-4f80-8ec2-0a5ee22cd8a5,PART,character_seperation2,character_seperation,UNDEFINED:#00000000
0db6ba3c-0dcc-4795-a2ea-c7b7295707d4,PART,Part8,head-all,UNDEFINED:#00000000
03f81b22-07cc-4894-94f3-6203dc1a0cae,PART,Part6,live2D.psd(未找到对应图层),UNDEFINED:#00000000
d26f057c-c83d-4cf8-a45c-8f0aff9e5cee,PART,Part4,羊refine wleaves,UNDEFINED:#00000000
9a6bb3ae-052d-4a81-8df4-0a463ce35ff2,PART,character_seperation,character_seperation,UNDEFINED:#00000000
06c12d48-61b9-4c13-bd36-97a749b049e2,PART,Part5,head-all,UNDEFINED:#00000000
7ed23b77-0b0e-421e-988c-9e0aedaa45df,ROTATION_DEFORMER,Rotation8,head-all旋转,UNDEFINED:#00000000
10a25ec5-5f60-4aae-9f3d-17a72375d135,ROTATION_DEFORMER,Rotation9,Head的弯曲变形器2,UNDEFINED:#00000000
cae1f583-f9c2-421f-b7f6-1159ccf246ea,PART,ear_L,ear_L,UNDEFINED:#00000000
04ceb0dc-4cfe-4ca1-8fce-1d5550fc4e8e,WARP_DEFORMER,Warp12,ear_L的弯曲变形器,UNDEFINED:#00000000
776ddc28-f0e5-4f62-9fd0-402a3ef70186,PART,collar,collar,UNDEFINED:#00000000
86e4019c-7802-4fd2-8306-296f027b48a7,WARP_DEFORMER,Warp13,collar的弯曲变形器,UNDEFINED:#00000000
bbeef79a-6919-4107-b1d2-69004a87ec57,PART,cloth,cloth,UNDEFINED:#00000000
72ff8638-7078-4f39-9682-6644b6fb521b,WARP_DEFORMER,Warp14,cloth的弯曲变形器,UNDEFINED:#00000000
ef646da6-dffa-42ce-8ce8-98dabd3f1318,PART,Head,Head,UNDEFINED:#00000000
7c9e70d3-7ef0-4083-a69d-39bcec777ff7,ROTATION_DEFORMER,Rotation,Head旋转,UNDEFINED:#00000000
d366e244-e951-41ad-9039-c12145ae2b2a,WARP_DEFORMER,Warp,Head的弯曲变形器,UNDEFINED:#00000000
042c3018-e8d8-4ec7-bb58-fd97c2dd78ac,PART,Part,資料夾 1,UNDEFINED:#00000000
2bfd3a5f-084f-4788-994d-0f07b1dfdc12,PART,Part2,資料夾 2,UNDEFINED:#00000000
aadd0ffb-efb9-4ee8-aef8-826d19d8e48d,ROTATION_DEFORMER,Rotation10,資料夾 1旋转,UNDEFINED:#00000000
8a6c6fd8-e125-4d8f-b1b1-4ec21b80f6de,PART,body,body,UNDEFINED:#00000000
54f05e21-630b-471b-bd04-97f1bd17c085,ROTATION_DEFORMER,Rotation2,body旋转,UNDEFINED:#00000000
6b569b2b-ab6f-4ad0-a4e6-64c7e765e4ea,WARP_DEFORMER,Warp2,body的弯曲变形器,UNDEFINED:#00000000
4239be79-204e-48d4-a3f2-fbf4a90dbadb,ROTATION_DEFORMER,Rotation5,body旋转3,UNDEFINED:#00000000
3fc6f8fb-3dc9-41b1-9ab9-ca99ddd35732,WARP_DEFORMER,Warp6,body的弯曲变形器4,UNDEFINED:#00000000
c0499d93-8573-425b-8e1c-092920255b73,ROTATION_DEFORMER,Rotation4,body旋转2,UNDEFINED:#00000000
1923afdd-c2aa-47e5-ad5d-3375b1618362,WARP_DEFORMER,Warp7,body的弯曲变形器5,UNDEFINED:#00000000
0b151e2c-8b3c-48f9-9b7b-f14c8584c115,ROTATION_DEFORMER,Rotation6,body旋转4,UNDEFINED:#00000000
4c1b50a9-582a-4072-985e-c2d2081ef9e0,WARP_DEFORMER,Warp5,body的弯曲变形器3,UNDEFINED:#00000000
b224c9dd-22a3-44af-addf-0f5149e82025,ROTATION_DEFORMER,Rotation7,body旋转5,UNDEFINED:#00000000
c7b73e85-9fe7-4f12-9b43-7a08adb15ee1,WARP_DEFORMER,Warp4,body的弯曲变形器2,UNDEFINED:#00000000
e60ab641-89b5-427a-ab6e-8064a711a476,PART,hand,hand,UNDEFINED:#00000000
1fb7e4b9-c915-477a-b7eb-0bed452dd944,ROTATION_DEFORMER,Rotation12,hand旋转,UNDEFINED:#00000000
c5129504-f8d9-4387-8ac0-1710fbc3030f,PART,pants,pants,UNDEFINED:#00000000
7eae1bf4-6ad8-4ba7-b12f-b6099f6d8785,WARP_DEFORMER,Warp16,pants的弯曲变形器,UNDEFINED:#00000000
ce03cf15-37ea-4cae-ac61-9dc5db7e8249,PART,legs,legs,UNDEFINED:#00000000
d54ce3f7-3fcf-499d-92c6-93756ac5e0b2,WARP_DEFORMER,Warp15,legs的弯曲变形器,UNDEFINED:#00000000
b9db5b0a-584b-4521-a650-b21afd98c1a1,PART,leaves,leaves,UNDEFINED:#00000000
a5d5fd40-6133-47eb-b74f-08734875a916,WARP_DEFORMER,Warp10,曲面3,UNDEFINED:#00000000
437e60e3-c2d6-4b8f-85d4-df7805bd56b3,WARP_DEFORMER,Warp8,曲面,UNDEFINED:#00000000
96fd2092-e69f-48cf-bc29-c22fa24991c4,WARP_DEFORMER,Warp11,曲面4,UNDEFINED:#00000000
6d15a8da-c486-48c2-9bcc-999dc6ecbcc2,WARP_DEFORMER,Warp9,曲面2,UNDEFINED:#00000000
b5a18ba7-a7a9-47ba-b911-1a4ea137be43,PART,Part3,資料夾 3,UNDEFINED:#00000000
4f0391e9-97da-4355-a611-ecfc6bb7ce7b,ROTATION_DEFORMER,Rotation3,叶子,UNDEFINED:#00000000
91d46521-883d-4ae9-9eb9-b5758bc81ae3,WARP_DEFORMER,Warp3,資料夾 3的弯曲变形器,UNDEFINED:#00000000
